stop_id,route_ids
127012,4
110008,116
127014,32;4
127016,32;4
114079,95
901652,30
901657,30
903484,120
903486,120
901658,30
903481,120
903482,120
903483,120
901895,120
903098,85
211337,180
901893,120
903249,115
903730,56
903243,116
903240,3
137044,95
904023,50
100164,3
901754,60
904026,165;56
100160,13
904024,165;56
905378,104
211646,99
904752,109
904207,50
904206,50
904204,121
905370,126
904758,109;36
120122,165
905374,39
130134,114
905377,104
145110,66
900043,30
145114,162;183;66;83
900044,30
900049,42
148044,95
900683,73
904394,50;58
101162,3
900687,119
900686,107;117;119;121;21;221;86;8
900684,73
101168,3
900689,110
900688,119
903794,8
158092,93
903796,8
903797,60
905209,75
904116,165
140098,4;49
120058,165
902820,140;141
902822,140
120056,165
901009,26
120050,165
902828,150
905577,5
212198,55
146320,93
905578,5
106350,34
128108,32
210123,115
105392,24
122228,71
105396,24
210174,84
904379,119
128032,9
900223,67
130084,15
901409,21
904372,2
130080,15
904370,125
903664,153;60
903665,153;60
903666,153;60
106026,24
105006,74;9
105004,74
903668,50
903617,36
117098,4
904680,1
903466,125
100017,68
903464,116;119
903465,125
901360,16
101018,13
903460,109;99
104068,21
101014,13
101016,13
101010,13;3
903610,125
190020,180
190021,181
210404,82
902352,50;58
902351,50;58
902350,50;58
905796,125
905797,125
905795,125
901114,21
905790,123;36
905791,123;36
902689,132
902688,132
905152,51
904021,50
158408,172
176064,89
902681,132
902683,132
905405,126;33
902685,132
905403,126;33
905400,120
905401,120
212829,170
904978,34
210772,71
901314,114
212822,148
901312,117;121
904977,114
904976,114
900269,126
905083,13
902759,103;132
210579,155
905084,13
902751,5
900245,3
902757,132
900264,126
902533,30
902532,30
105476,9
902530,27
902536,30
210793,121
902534,30
903800,8
211951,26
902539,30
211954,186;74;99
211955,27
901898,37
106132,15
106130,15
106136,15;9
906056,47
211559,55
211229,119
211555,19
128022,34
211551,141
900612,27;30;6
128054,9
210318,111
901228,109;99
901229,109;36
900311,75
903939,165;56
903785,56
903944,53
900819,8
901220,170
901226,3
139022,55
210316,111
906235,124
906236,124
900918,66;73
906231,25
906232,124
770892,56
900913,26
102150,21
900911,26
102152,21;32;55
900917,170;66;73
900916,170;66;73
102156,186;32;49;55;74
146124,84
902227,26
212106,191;196
902224,58
902223,58
902222,120
902221,120
106014,24
212104,191;196
900976,66;73
122218,81
901134,3
211139,155
210957,180;82
210402,49
211132,125;75
211133,117
176200,189
212109,191;196
905729,53
115024,49
148046,95
906300,87
210134,79
906302,87
900171,68
114014,95
108008,107;24
906306,5
211522,172
905404,33
108004,107;24
108006,107;24
108002,107;24
212032,103
212033,110
122144,162
905968,104
212034,25
901241,37
210842,78
905966,104
121162,71
900170,68
211044,89
211043,89
905371,124
902790,185
129184,34
211049,89
212876,73
900861,71
132120,111
128038,9
900866,53
900865,3
138106,55
136116,178
901379,73
132128,86
113152,81
136110,172;178;42;79
905402,47
123146,81
146900,193;194;78;79;84;93
123144,81
169026,15
134094,115
158314,78
129230,15;9
901243,37
903060,117
901203,121;221
903067,87
903065,87
905899,126
147050,172;79
212148,196
134098,115
905891,110
905890,110
212144,196
132048,86
905897,126
212141,196
151090,4
212767,194
151092,4
211203,178
212762,194
901797,36;6
148094,95
901850,37
131058,186
901799,60
212768,194
116102,32
107250,114
901382,73
107252,114
903327,107
107256,114
903329,107
107258,114
132012,111
132010,111;86
151142,4
107092,86
107090,114
902239,6
212683,194
151144,4
107094,114;24;86
900467,12
900466,12
138084,42
123034,162;83
900461,110
900460,110
212499,191;193
125124,42
212363,195
212492,191
212366,191
212367,191
212496,191;192;193;194
212365,191
110012,116
901435,26
110016,116
900682,73
125120,42
900337,75
903499,36
903410,56
158158,172;194
159384,178
901622,6
212725,194
140156,4;49
210848,189
903494,51
901434,58;60
210723,3
903259,56
901620,36
901919,19
903257,56
903253,109;99
903252,109;99
145326,183;66;83
212567,800
158096,93
125128,42
212568,800
900762,56
900426,47
902113,120
906301,87
158094,93
904768,26
904766,26
107050,21
904761,102
150160,78
211670,195
900616,33
903784,73
903783,73
900079,12
904569,21
900076,150
900077,150
212758,194
113053,68;81
900178,71
138080,42
900679,3
900677,16
101156,3
101157,3
900672,1
903753,73
900580,39
904162,153;60
902811,107
902812,87
120048,165
905372,39
904164,120
904168,120
900587,6
127028,32
140084,4
120044,165
905561,125
905329,19
137066,95
905565,117
905564,117
905567,120
905566,117
153016,15;34
153017,34
153014,34
153015,34
153013,34
153011,34
901411,8
105380,24
904308,102;2
184099,181
210149,75
901417,170
105386,24
904302,102;2
901418,170
904300,102
130096,15;9
210140,79
904307,102;2
210142,79
176090,89
158376,194
903672,8
903671,123
903670,50
159160,193
158373,78
158370,194
903674,120
904336,16
140096,4;49
903679,56
773136,103
158378,194;78
903475,121
184092,181
779807,47
100006,68
903471,117
101020,13
900780,110
101024,13
900787,51
101026,13
902322,8
166900,195;196;82;89
166901,172;180;181;189
902324,8
113092,67
902328,120
905786,123
905780,126
905783,124
905782,124
212815,148
212817,15
212810,4
211304,186
904410,102;2
212813,195
905415,33
106216,107
905417,132
191036,180
212819,162
191034,180
904419,107
904786,12
900255,126
900256,126
900257,126
113148,81
900231,67
900252,126
900253,126
902287,36;6
901307,56
106088,15
905091,114
905090,114
905093,114
905092,114
905095,34
906140,39
905471,25
900098,47
902090,30
905579,5
906041,117
145072,162
138350,95
902780,140
210199,84
902783,87
105523,24
902785,87
902038,30
902787,185
105096,74
902032,8
902033,33
106380,24
210171,82;84
211549,73
211548,33
210320,111
211238,132
149046,4
211234,172
134088,111;116;86
149045,178
149042,78
211546,16
139020,55
159296,78
900326,75
212877,8
102546,49
900329,124
903921,121
903920,121
139054,55
166058,172
906227,75
906225,75
901626,26
137072,42
211374,51
902259,39
902252,16;36
902253,16;36
902250,27
902254,16;36
902255,16;36
211437,93
146262,162
211435,58
146260,162
146266,162
146264,162
210344,50
211672,75
211947,170
210431,109;21;99
211687,87
211943,3
211942,123
158052,79
210830,1
211123,89
211125,26
114082,71
211949,180
903818,123;8
105002,74;9
210340,111
903865,50
115016,155
903667,50
212531,191
108032,107
212439,191
903336,51
901053,165
905958,47
212020,110
212023,12
133040,117
212025,4
904689,86
212027,47
212026,53
212029,102;2
122156,162
905952,25
905956,8
905957,8
211054,89
121153,66
211053,89
106298,24;34
133044,117
211059,89
901567,1
136108,42
136104,42
905236,25
136106,178;42
900892,165
900890,16
903669,50
108100,111
900239,68
169032,15
184052,89
210124,111
184050,89
900163,68
100016,68
212798,32
106428,21;24
905231,47
903070,85
903073,85
212796,32
903077,103
126078,49
212159,196
901277,75
100012,68
126072,49
212151,196
212153,196
212775,32
212774,32
212777,32
212776,32
774004,66
100010,68
903359,117
901789,110;37
131048,86
212779,32
212778,32
903945,53
905279,75
107268,86
165117,84
905278,75
107264,86
903315,66
136033,79
107267,86
176070,89
903312,165
903313,165
212487,193
212485,193
104064,21
212483,193
212481,192;193;194
151156,4
900412,33
900413,33
107064,86
100136,3
900416,19
900414,33
900415,33
212379,191
122240,71
212371,191
212373,191
104060,21
212375,191
212377,191
212376,191
905232,47
114050,68
158384,194;95
133154,86
137008,95
158142,172
903268,68
903269,116
900943,2;99
212442,195
903260,56
903261,165;56
903262,13
903263,13
903264,13
905244,19
212572,193
212570,193
904209,56
212576,193
212574,193
212578,193
901518,26
900096,47
122288,81
904779,51
904778,51
906061,47
129009,74
212444,195
107060,86
902480,58;60
900069,89
159084,55
159080,78
904575,58
904577,123
904576,123;36
904573,86
904572,86
176062,89
148002,79
149003,4
211230,74
176060,89
101144,3
905153,51
